,Unnamed: 0,country,country_txt,cases,code
149,149,183,South Africa,1911,ZAF
151,151,185,Spain,2819,ESP
152,152,186,Sri Lanka,2853,LKA
156,156,196,Suriname,61,SUR
156,156,196,Suriname,61,SUR
158,158,198,Sweden,117,SWE
159,159,199,Switzerland,91,CHE
160,160,200,Syria,2342,SYR
161,161,201,Taiwan,37,TWN
162,162,202,Tajikistan,183,TJK
163,163,203,Tanzania,53,TZA
164,164,204,Togo,42,TGO
165,165,205,Thailand,3774,THA
166,166,207,Trinidad and Tobago,20,TTO
167,167,208,Tunisia,114,TUN
168,168,209,Turkey,4003,TUR
169,169,210,Turkmenistan,1,TKM
170,170,213,Uganda,372,UGA
171,171,214,Ukraine,1563,UKR
172,172,215,United Arab Emirates,17,ARE
173,173,217,United States,2407,USA
174,174,218,Uruguay,71,URY
175,175,219,Uzbekistan,19,UZB
176,176,220,Vanuatu,2,VUT
178,178,222,Venezuela,256,VEN
179,179,223,Vietnam,8,VNM
180,180,226,Wallis and Futuna,1,WLF
181,181,228,Yemen,3073,YEM
182,182,229,Democratic Republic of the Congo,869,COD
183,183,230,Zambia,58,ZMB
184,184,231,Zimbabwe,97,ZWE
188,188,349,Western Sahara,6,ESH
190,190,362,West Germany (FRG),465,DEU
191,191,377,North Yemen,4,YEM
192,192,403,Rhodesia,80,RHO
193,193,406,South Yemen,2,YEM
196,196,499,East Germany (GDR),35,DEU
197,197,532,New Hebrides,1,NHB
198,198,603,United Kingdom,4280,GBR
199,199,604,Zaire,45,COD
200,200,605,People's Republic of the Congo,3,COG
201,201,1001,Serbia,12,SRB
202,202,1002,Montenegro,7,MNE
203,203,1003,Kosovo,173,RKS
204,204,1004,South Sudan,223,SSD
